Park_and_Ride_Station,Passengers,Radius,Tour_Length
Crowfoot - North and South,8,4,30444.163
Crowfoot - North and South,8,4,44404.80499999999
Crowfoot - North and South,8,5,46924.44
Crowfoot - North and South,8,5,45981.37699999999
Crowfoot - North and South,8,5,49313.44799999999
Crowfoot - North and South,9,1,16721.293999999998
Crowfoot - North and South,9,1,18236.103
Crowfoot - North and South,9,1,13342.691999999997
Crowfoot - North and South,9,2,20366.235999999997
Crowfoot - North and South,9,2,25542.002
Crowfoot - North and South,9,2,22407.235999999997
Crowfoot - North and South,9,3,23147.761999999995
Crowfoot - North and South,9,3,34959.888
Crowfoot - North and South,9,3,30202.824999999997
Crowfoot - North and South,9,4,38294.07399999999
Crowfoot - North and South,9,4,35547.15699999999
Crowfoot - North and South,9,4,23193.665999999994
Crowfoot - North and South,9,5,51077.191999999995
Crowfoot - North and South,9,5,47297.14799999999
Crowfoot - North and South,9,5,44246.907999999996
Crowfoot - North and South,10,1,17107.052999999996
Crowfoot - North and South,10,1,14132.319
Crowfoot - North and South,10,1,16332.003999999995
Crowfoot - North and South,10,2,19784.118999999995
Crowfoot - North and South,10,2,25373.305999999997
Crowfoot - North and South,10,2,22540.082
Crowfoot - North and South,10,3,31758.583999999995
Crowfoot - North and South,10,3,27131.007999999998
Crowfoot - North and South,10,3,37000.17999999999
Crowfoot - North and South,10,4,42511.85999999999
Crowfoot - North and South,10,4,40806.08799999999
Crowfoot - North and South,10,4,38727.56599999999
Crowfoot - North and South,10,5,39823.148
Crowfoot - North and South,10,5,41345.331999999995
Crowfoot - North and South,10,5,43907.23399999999
Crowfoot - North and South,11,1,18488.592999999997
Crowfoot - North and South,11,1,19333.772999999994
Crowfoot - North and South,11,1,
Crowfoot - North and South,11,2,23330.589999999997
Crowfoot - North and South,11,2,20973.240999999995
Crowfoot - North and South,11,2,23115.756999999998
Crowfoot - North and South,11,3,35101.7
Crowfoot - North and South,11,3,36025.80199999999
Crowfoot - North and South,11,3,27223.010000000002
Crowfoot - North and South,11,4,
Crowfoot - North and South,11,4,36271.581
Crowfoot - North and South,11,4,38123.78799999999
Crowfoot - North and South,11,5,44811.75899999999
Crowfoot - North and South,11,5,48506.158
Crowfoot - North and South,11,5,55521.399
Tuscany Station - Rocky Ridge Terminal,3,1,4440.34
Tuscany Station - Rocky Ridge Terminal,3,1,12677.064999999995
Tuscany Station - Rocky Ridge Terminal,3,1,12177.631999999998
Tuscany Station - Rocky Ridge Terminal,3,2,12982.140999999996
Tuscany Station - Rocky Ridge Terminal,3,2,5685.396000000001
Tuscany Station - Rocky Ridge Terminal,3,2,12214.491
Tuscany Station - Rocky Ridge Terminal,3,3,13464.219999999998
Tuscany Station - Rocky Ridge Terminal,3,3,14621.145999999997
Tuscany Station - Rocky Ridge Terminal,3,3,13837.232
Tuscany Station - Rocky Ridge Terminal,3,4,23841.123000000003
Tuscany Station - Rocky Ridge Terminal,3,4,15644.228999999996
Tuscany Station - Rocky Ridge Terminal,3,4,17027.946999999996
Tuscany Station - Rocky Ridge Terminal,3,5,37289.50800000001
Tuscany Station - Rocky Ridge Terminal,3,5,17635.215000000004
Tuscany Station - Rocky Ridge Terminal,3,5,27891.93500000001
Tuscany Station - Rocky Ridge Terminal,4,1,1909.5439999999999
Tuscany Station - Rocky Ridge Terminal,4,1,12762.235999999995
Tuscany Station - Rocky Ridge Terminal,4,1,2209.268
Tuscany Station - Rocky Ridge Terminal,4,2,14134.448000000002
Tuscany Station - Rocky Ridge Terminal,4,2,20875.055
Tuscany Station - Rocky Ridge Terminal,4,2,17949.578999999998
Tuscany Station - Rocky Ridge Terminal,4,3,14159.165000000005
Tuscany Station - Rocky Ridge Terminal,4,3,21434.820999999996
Tuscany Station - Rocky Ridge Terminal,4,3,17788.591
Tuscany Station - Rocky Ridge Terminal,4,4,23870.291
Tuscany Station - Rocky Ridge Terminal,4,4,38333.09
Tuscany Station - Rocky Ridge Terminal,4,4,28480.212999999996
Tuscany Station - Rocky Ridge Terminal,4,5,16926.733
Tuscany Station - Rocky Ridge Terminal,4,5,29021.981999999996
Tuscany Station - Rocky Ridge Terminal,4,5,19640.957000000002
Tuscany Station - Rocky Ridge Terminal,5,1,17992.694
Tuscany Station - Rocky Ridge Terminal,5,1,14087.719999999994
Tuscany Station - Rocky Ridge Terminal,5,1,12732.401
Tuscany Station - Rocky Ridge Terminal,5,2,13327.057
Tuscany Station - Rocky Ridge Terminal,5,2,20946.341
Tuscany Station - Rocky Ridge Terminal,5,2,13027.772
Tuscany Station - Rocky Ridge Terminal,5,3,22585.805999999997
Tuscany Station - Rocky Ridge Terminal,5,3,23096.214999999997
Tuscany Station - Rocky Ridge Terminal,5,3,25773.085
Tuscany Station - Rocky Ridge Terminal,5,4,16732.7
Tuscany Station - Rocky Ridge Terminal,5,4,29158.908000000003
Tuscany Station - Rocky Ridge Terminal,5,4,23390.301
Tuscany Station - Rocky Ridge Terminal,5,5,32269.59
Tuscany Station - Rocky Ridge Terminal,5,5,31396.909999999993
Tuscany Station - Rocky Ridge Terminal,5,5,27692.248999999993
Tuscany Station - Rocky Ridge Terminal,6,1,17262.71
Tuscany Station - Rocky Ridge Terminal,6,1,20053.082
Tuscany Station - Rocky Ridge Terminal,6,1,20915.238999999994
